"","Date","Forecast"
"1",2014-01-01,4995.86556531862
"2",2014-01-02,5601.22546677717
"3",2014-01-03,5266.86093963816
"4",2014-01-04,4915.65776330832
"5",2014-01-05,4547.27464370649
"6",2014-01-06,4416.58578408173
"7",2014-01-07,5003.75904103631
"8",2014-01-08,5149.85674374121
"9",2014-01-09,5097.82303966297
"10",2014-01-10,5147.59502265308
"11",2014-01-11,5115.20729902659
"12",2014-01-12,5116.37534513433
"13",2014-01-13,4727.09624680122
"14",2014-01-14,4930.37555747377
"15",2014-01-15,5024.92536605771
"16",2014-01-16,4989.4796191292
"17",2014-01-17,5212.26547357734
"18",2014-01-18,5375.8282247053
"19",2014-01-19,5199.2809293219
"20",2014-01-20,5241.15930296013
"21",2014-01-21,5496.31683355634
"22",2014-01-22,5390.44057029065
"23",2014-01-23,5297.6069271675
"24",2014-01-24,5511.62277525204
"25",2014-01-25,5541.32111896035
"26",2014-01-26,5364.1316312817
"27",2014-01-27,5184.96597340318
"28",2014-01-28,5287.98275866114
"29",2014-01-29,5561.7745036934
"30",2014-01-30,5831.40034125224
"31",2014-01-31,6118.95706182126
"32",2014-02-01,6164.80428101198
"33",2014-02-02,5866.30802182697
"34",2014-02-03,5830.38942876859
"35",2014-02-04,6097.39583767922
"36",2014-02-05,6014.47700794216
"37",2014-02-06,6198.95215777817
"38",2014-02-07,6179.93284035166
"39",2014-02-08,6261.68767921998
"40",2014-02-09,6173.06340278692
"41",2014-02-10,5917.54037784632
"42",2014-02-11,5722.25707536741
"43",2014-02-12,5761.769368535
"44",2014-02-13,5751.78156535639
"45",2014-02-14,5861.06733920594
"46",2014-02-15,5919.28188600095
"47",2014-02-16,5942.68320332231
"48",2014-02-17,5702.55225967527
"49",2014-02-18,5702.41030154421
"50",2014-02-19,5656.0346769908
"51",2014-02-20,5450.52921680003
"52",2014-02-21,5277.45714690277
"53",2014-02-22,5057.29507705495
"54",2014-02-23,4978.65408216146
"55",2014-02-24,5111.69300216422
"56",2014-02-25,5131.07926526638
"57",2014-02-26,4885.6449916894
"58",2014-02-27,5050.45104028244
"59",2014-02-28,5101.35370609808
"60",2014-03-01,5001.82425236695
"61",2014-03-02,5002.3845891261
"62",2014-03-03,4874.54595785535
"63",2014-03-04,5066.68091488935
"64",2014-03-05,5099.15977003357
"65",2014-03-06,5237.12770676365
"66",2014-03-07,4843.32321193965
"67",2014-03-08,4669.46429946457
"68",2014-03-09,4530.75518072757
"69",2014-03-10,4343.36068103259
"70",2014-03-11,4516.72864999416
"71",2014-03-12,4573.19248440841
"72",2014-03-13,4738.96612007669
"73",2014-03-14,4703.20405770335
"74",2014-03-15,4550.17688616236
"75",2014-03-16,4373.64756817431
"76",2014-03-17,4665.05680472456
"77",2014-03-18,4778.46343603003
"78",2014-03-19,4799.88607240092
"79",2014-03-20,4828.95650439798
"80",2014-03-21,4853.11594878588
"81",2014-03-22,4568.72698107028
"82",2014-03-23,4261.64277008804
"83",2014-03-24,4359.23150047529
"84",2014-03-25,4676.59823856736
"85",2014-03-26,4606.92705313795
"86",2014-03-27,4501.61789083094
"87",2014-03-28,4586.39900050962
"88",2014-03-29,4486.49257332529
"89",2014-03-30,4352.9577513334
"90",2014-03-31,4150.27612329756
"91",2014-04-01,4375.05053391905
"92",2014-04-02,4522.47719203612
"93",2014-04-03,4607.45019327909
"94",2014-04-04,4704.63885965757
"95",2014-04-05,4693.91896742422
"96",2014-04-06,4612.22585167804
"97",2014-04-07,4617.12627776974
"98",2014-04-08,4772.52521862123
"99",2014-04-09,4850.71302051041
"100",2014-04-10,4846.49874237357
"101",2014-04-11,4733.53636644631
"102",2014-04-12,4680.21034655619
"103",2014-04-13,4603.71989682781
"104",2014-04-14,4503.26985977354
"105",2014-04-15,4691.14135751592
"106",2014-04-16,4681.50330452261
"107",2014-04-17,4479.07483479721
"108",2014-04-18,4582.25559297184
"109",2014-04-19,4389.32258921328
"110",2014-04-20,4271.43561546999
"111",2014-04-21,4166.52701077106
"112",2014-04-22,4440.85500117175
"113",2014-04-23,4564.05060393541
"114",2014-04-24,4711.12480478446
"115",2014-04-25,4738.61664176773
"116",2014-04-26,4636.02156857439
"117",2014-04-27,4285.48484635844
"118",2014-04-28,4248.59241219238
"119",2014-04-29,4560.49248778113
"120",2014-04-30,4836.306120824
"121",2014-05-01,4903.60390476323
"122",2014-05-02,4911.80339265068
"123",2014-05-03,4743.33667035502
"124",2014-05-04,4453.4903775604
"125",2014-05-05,4353.41071716014
"126",2014-05-06,4610.97799720372
"127",2014-05-07,4709.90482113458
"128",2014-05-08,4787.078663122
"129",2014-05-09,4943.90729859039
"130",2014-05-10,4972.19091842889
"131",2014-05-11,4860.08192171114
"132",2014-05-12,4694.24286858926
"133",2014-05-13,4841.91475957316
"134",2014-05-14,4897.31999583177
"135",2014-05-15,4941.92992029702
"136",2014-05-16,4674.49827962719
"137",2014-05-17,4478.71892955378
"138",2014-05-18,4352.05802773249
"139",2014-05-19,4504.06673982252
"140",2014-05-20,4847.56862317284
"141",2014-05-21,4877.51258894318
"142",2014-05-22,4989.24931528853
"143",2014-05-23,5168.79829246115
"144",2014-05-24,5249.04789967857
"145",2014-05-25,5106.32477791398
"146",2014-05-26,4972.02430491569
"147",2014-05-27,5102.88806834974
"148",2014-05-28,5492.85985981412
"149",2014-05-29,5489.32452128023
"150",2014-05-30,5583.57494965381
"151",2014-05-31,5563.44311904567
"152",2014-06-01,5209.82805351907
"153",2014-06-02,5050.93981245945
"154",2014-06-03,5209.09109172045
"155",2014-06-04,5202.19923828332
"156",2014-06-05,5315.29584596392
"157",2014-06-06,5411.37658928481
"158",2014-06-07,5525.44849515061
"159",2014-06-08,5457.67907687796
"160",2014-06-09,5275.38009806168
"161",2014-06-10,5236.47505050929
"162",2014-06-11,5332.4169920901
"163",2014-06-12,5601.566259435
"164",2014-06-13,5328.88181372063
"165",2014-06-14,5197.42394983469
"166",2014-06-15,5422.5784602296
"167",2014-06-16,5400.81209348983
"168",2014-06-17,5515.25317006074
"169",2014-06-18,5592.94293544083
"170",2014-06-19,5722.14341763846
"171",2014-06-20,5770.90633883273
"172",2014-06-21,5531.95219016497
"173",2014-06-22,5208.38201012107
